Agente,Espec_Medica,Acurácia,Sensibilidade (Dengue),Especificidade,F1-Score,Precisão,Custo Total de Testes,Custo por Acerto,Redução de Testes (%),Recompensa Total
Aleatório,0.13224723475290176,0.13218038935030485,0.1354111065395265,0.13171853786709367,0.13348873180431625,0.13314662545877615,8.586811592979862,0.1185129179400177,1.5333592130321207,162.19400763009438
DQN_dqn_dengue_policy,0.13224723475290176,0.14525029222789967,0.14907119839350655,0.14666550700259082,0.14777125853878345,0.14849773066767633,0.0,0.0,0.0,0.0
DQN_dqn_dengue_policy2,0.13224723475290176,0.1385199749014994,0.14585932702527055,0.13477115893311495,0.1396909908196227,0.13548759779954914,0.0,0.28522546849745367,0.0,0.0
DQN_dqn_dengue_policy3,0.13224723475290176,0.14207174978217096,0.1566822251974381,0.13379172893642513,0.1480933685458521,0.14172998950472562,16.97743600586771,0.07314109329324628,3.031685001047808,670.8232190541873
DQN_dqn_dengue_policy4,0.13224723475290176,0.1389056679207111,0.14725184733981386,0.13569548732296804,0.14123795006371717,0.13788536569981896,55.127730469035875,0.3201738533499368,9.844237583756405,388.6205804580549
DQN_dqn_dengue_policy5,0.13224723475290176,0.142218811963082,0.14788953702510205,0.13826959426537516,0.14313723467176695,0.13953305771762087,71.15155967682259,0.46738912489813095,12.705635656575465,142.12500327372223
DQN_dqn_dengue_policy6,0.13224723475290176,0.1449885639402963,0.14739614496902503,0.1462707239538686,0.14622602750604868,0.14709638221404278,80.57081081604898,0.5558645025550334,14.387644788580179,681.5647735582844
DQN_dqn_dengue_policy_SEED_42,0.13224723475290176,0.1429384689147453,0.14653983373751078,0.1407865819234526,0.14291425061205465,0.1402386641523266,83.06864631134903,0.5689916073004673,14.833686841312328,555.4412304145637
DQN_dqn_dengue_policy_SEED_850,0.13224723475290176,0.13680690084171132,0.14187959178594864,0.1373625884244637,0.13715743749010217,0.13586152940804297,41.41403412156587,0.2989946671902009,7.3953632359939,388.7642943424146
DQN_policy_best,0.13224723475290176,0.14380834121241917,0.14118866928452262,0.14952684244660067,0.14245984998970723,0.1457460866825273,72.27609102139748,0.294885667195516,12.906444825249554,396.2875668837803
Q-Learning,0.13224723475290176,0.1408031908329951,0.13291601348757257,0.15260586069861506,0.1393513769366242,0.14769682784172464,0.5676462121975477,0.20297896578268576,0.10136539503527348,93.91745784937373
